kdrg_code,aadrg_code,kdrg_name,mdc_code
A3028,A302,,
A3029,A302,,
A3030,A303,,
A3031,A303,,
A3032,A303,,
A3033,A303,,
A3034,A303,,
A3035,A303,,
A3036,A303,,
A3037,A303,,
A3038,A303,,
A3039,A303,,
A3040,A304,,
A3041,A304,,
A3042,A304,,
A3043,A304,,
A3044,A304,,
A3045,A304,,
A3046,A304,,
A3047,A304,,
A3048,A304,,
A3049,A304,,
A3050,A305,,
A3051,A305,,
A3052,A305,,
A3053,A305,,
A3054,A305,,
A3055,A305,,
A3056,A305,,
A3057,A305,,
A3058,A305,,
A3059,A305,,
A3080,A308,,
A3081,A308,,
A3082,A308,,
A3083,A308,,
A3084,A308,,
A3085,A308,,
A3086,A308,,
A3087,A308,,
A3088,A308,,
A3089,A308,,
A3090,A309,,
A3091,A309,,
A3092,A309,,
A3093,A309,,
A3094,A309,,
A3095,A309,,
A3096,A309,,
A3097,A309,,
A3098,A309,,
A3099,A309,,
A3100,A310,,
A3101,A310,,
A3102,A310,,
A3103,A310,,
A3104,A310,,
A3105,A310,,
A3106,A310,,
A3107,A310,,
A3108,A310,,
A3109,A310,,
A3110,A311,,
A3111,A311,,
A3112,A311,,
A3113,A311,,
A3114,A311,,
A3115,A311,,
A3116,A311,,
A3117,A311,,
A3118,A311,,
A3119,A311,,
A3180,A318,,
A3181,A318,,
A3182,A318,,
A3183,A318,,
A3184,A318,,
A3185,A318,,
A3186,A318,,
A3187,A318,,
A3188,A318,,
A3189,A318,,
A3190,A319,,
A3191,A319,,
A3192,A319,,
A3193,A319,,
A3194,A319,,
A3195,A319,,
A3196,A319,,
A3197,A319,,
A3198,A319,,
A3199,A319,,
A3200,A320,,
A3201,A320,,
A3202,A320,,
A3203,A320,,
A3204,A320,,
A3205,A320,,
A3206,A320,,
A3207,A320,,
A3208,A320,,
A3209,A320,,
A3210,A321,,
A3211,A321,,
A3212,A321,,
A3213,A321,,
A3214,A321,,
A3215,A321,,
A3216,A321,,
A3217,A321,,
A3218,A321,,
A3219,A321,,
A3270,A327,,
A3271,A327,,
A3272,A327,,
A3273,A327,,
A3274,A327,,
A3275,A327,,
A3276,A327,,
A3277,A327,,
A3278,A327,,
A3279,A327,,
A3280,A328,,
A3281,A328,,
A3282,A328,,
A3283,A328,,
A3284,A328,,
A3285,A328,,
A3286,A328,,
A3287,A328,,
A3288,A328,,
A3289,A328,,
A3290,A329,,
A3291,A329,,
A3292,A329,,
A3293,A329,,
A3294,A329,,
A3295,A329,,
A3296,A329,,
A3297,A329,,
A3298,A329,,
A3299,A329,,
A3600,A360,,
A3601,A360,,
A3602,A360,,
A3603,A360,,
A3604,A360,,
A3605,A360,,
A3606,A360,,
A3607,A360,,
A3608,A360,,
A3609,A360,,
A3610,A361,,
A3611,A361,,
A3612,A361,,
A3613,A361,,
A3614,A361,,
A3615,A361,,
A3616,A361,,
A3617,A361,,
A3618,A361,,
A3619,A361,,
A3620,A362,,
A3621,A362,,
A3622,A362,,
A3623,A362,,
A3624,A362,,
A3625,A362,,
A3626,A362,,
A3627,A362,,
A3628,A362,,
A3629,A362,,
A3630,A363,,
A3631,A363,,
A3632,A363,,
A3633,A363,,
A3634,A363,,
A3635,A363,,
A3636,A363,,
A3637,A363,,
A3638,A363,,
A3639,A363,,
A3680,A368,,
A3681,A368,,
A3682,A368,,
A3683,A368,,
A3684,A368,,
A3685,A368,,
A3686,A368,,
A3687,A368,,
A3688,A368,,
A3689,A368,,
A3690,A369,,
A3691,A369,,
A3692,A369,,
A3693,A369,,
A3694,A369,,
A3695,A369,,
A3696,A369,,
A3697,A369,,
A3698,A369,,
A3699,A369,,
A3700,A370,,
A3701,A370,,
A3702,A370,,
A3703,A370,,
A3704,A370,,
A3705,A370,,
A3706,A370,,
A3707,A370,,
A3708,A370,,
A3709,A370,,
A3710,A371,,
A3711,A371,,
A3712,A371,,
A3713,A371,,
A3714,A371,,
A3715,A371,,
A3716,A371,,
A3717,A371,,
A3718,A371,,
A3719,A371,,
A3780,A378,,
A3781,A378,,
A3782,A378,,
A3783,A378,,
A3784,A378,,
A3785,A378,,
A3786,A378,,
A3787,A378,,
A3788,A378,,
A3789,A378,,
A3790,A379,,
A3791,A379,,
A3792,A379,,
A3793,A379,,
